epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2262,0.4576,0.36434,0.54779,0.95382,0,0.62838,0.78454,0.73186,0.62869,0.62579,0.78145,0.72804,0.60925,0.42408,0.28098,0.43061,0.9197,0,0.000108982,0.000108982,0.000108982
2,34.5895,0.50139,0.36152,0.56404,0.96109,0,0.61795,0.64353,0.70686,0.58089,0.61548,0.6407,0.70275,0.56012,0.44456,0.29726,0.54325,0.92758,0,0.000219256,0.000219256,0.000219256
3,51.72,0.50381,0.37706,0.57542,0.96345,0,0.62584,0.54299,0.50225,0.4134,0.62022,0.53681,0.49242,0.40052,0.48987,0.3718,11.4623,0.94571,0,0.000328797,0.000328797,0.000328797
4,68.7893,0.56106,0.42921,0.63537,0.98592,0,0.65854,0.74697,0.69287,0.56662,0.65574,0.74389,0.68843,0.52461,0.45107,0.36159,1.02805,0.92439,0,0.000329703,0.000329703,0.000329703
5,85.8434,0.53666,0.41557,0.6151,0.99114,0,0.78904,0.55633,0.61629,0.50848,0.78477,0.551,0.61344,0.45867,0.46385,0.37959,0.59698,0.92461,0,0.000328604,0.000328604,0.000328604
6,102.942,0.53726,0.40783,0.64357,0.97606,0,0.68351,0.64963,0.68746,0.586,0.68032,0.64604,0.68685,0.54715,0.4412,0.34714,0.47291,0.90864,0,0.000327505,0.000327505,0.000327505
7,120.059,0.52808,0.42218,0.5882,0.97093,0,0.53436,0.67183,0.59302,0.50165,0.53097,0.6683,0.58697,0.45408,0.46763,0.36848,0.54988,0.92499,0,0.000326407,0.000326407,0.000326407
8,137.148,0.52524,0.39525,0.58985,0.96779,0,0.81466,0.56615,0.64586,0.52045,0.81195,0.56331,0.64493,0.49494,0.4621,0.36356,0.56331,0.92937,0,0.000325308,0.000325308,0.000325308
9,154.333,0.52455,0.38906,0.57226,0.98241,0,0.65865,0.5782,0.5684,0.49328,0.65602,0.57536,0.56568,0.42101,0.46208,0.35491,0.54765,0.92805,0,0.000324209,0.000324209,0.000324209
10,171.376,0.54941,0.43302,0.65652,0.98189,0,0.56396,0.79911,0.66901,0.53263,0.55876,0.79294,0.66074,0.52412,0.51955,0.3638,0.55201,0.96262,0,0.00032311,0.00032311,0.00032311
11,188.441,0.56702,0.41163,0.60082,1.01834,0,0.64582,0.52954,0.63555,0.51871,0.6396,0.52312,0.62641,0.49315,0.4777,0.34673,0.53589,0.94263,0,0.000322011,0.000322011,0.000322011
12,205.421,0.52454,0.37799,0.54262,0.98766,0,0.69588,0.66958,0.64826,0.5385,0.68961,0.66255,0.64167,0.46565,0.4681,0.3464,0.48005,0.93197,0,0.000320912,0.000320912,0.000320912
13,222.429,0.53586,0.38347,0.54251,0.98951,0,0.63381,0.67197,0.66149,0.55582,0.62412,0.65982,0.64989,0.48054,0.46563,0.37243,0.49554,0.92963,0,0.000319813,0.000319813,0.000319813
14,239.627,0.53002,0.38231,0.5835,0.96643,0,0.79683,0.5729,0.66995,0.57253,0.79683,0.5729,0.66886,0.52188,0.45725,0.32221,0.5381,0.92123,0,0.000318714,0.000318714,0.000318714
15,256.659,0.54607,0.4115,0.60673,0.98943,0,0.63123,0.77903,0.64667,0.55715,0.63145,0.77928,0.64723,0.48866,0.43398,0.32494,0.48199,0.90648,0,0.000317615,0.000317615,0.000317615
16,273.663,0.52953,0.39781,0.5987,0.98612,0,0.62731,0.78696,0.68076,0.55755,0.62731,0.78696,0.67869,0.49984,0.44217,0.31494,0.45895,0.9126,0,0.000316517,0.000316517,0.000316517
17,290.696,0.52932,0.36669,0.56011,0.97726,0,0.69939,0.64724,0.61696,0.52188,0.6996,0.64749,0.61769,0.47588,0.46276,0.30985,0.47647,0.92618,0,0.000315418,0.000315418,0.000315418
18,307.91,0.51787,0.39891,0.55275,0.97362,0,0.75196,0.51673,0.63299,0.54267,0.75446,0.51908,0.63695,0.48281,0.45399,0.32903,0.48411,0.92045,0,0.000314319,0.000314319,0.000314319
19,325.48,0.53197,0.40475,0.58616,0.96235,0,0.65331,0.57667,0.57496,0.48499,0.65127,0.57547,0.57365,0.43884,0.44615,0.32124,0.4982,0.91567,0,0.00031322,0.00031322,0.00031322
20,342.88,0.4902,0.3973,0.51341,0.96288,0,0.5761,0.77895,0.62443,0.52254,0.57407,0.77636,0.62374,0.46772,0.43636,0.30789,0.47734,0.90317,0,0.000312121,0.000312121,0.000312121
21,360.162,0.52816,0.38246,0.5785,0.96901,0,0.63214,0.62963,0.67703,0.57402,0.6294,0.62654,0.67484,0.5316,0.42117,0.30381,0.47877,0.8969,0,0.000311022,0.000311022,0.000311022
22,377.589,0.54184,0.41579,0.64481,0.97154,0,0.65404,0.74316,0.67465,0.51671,0.65235,0.74032,0.66899,0.48469,0.47889,0.31742,0.53387,0.92886,0,0.000309923,0.000309923,0.000309923
23,394.94,0.52102,0.38076,0.52644,0.96235,0,0.69226,0.53972,0.61081,0.502,0.68977,0.53682,0.62163,0.47787,0.47399,0.337,0.59571,0.94318,0,0.000308824,0.000308824,0.000308824
24,412.201,0.51007,0.37556,0.55394,0.95592,0,0.53261,0.57265,0.56935,0.51144,0.53241,0.5724,0.57,0.4552,0.46097,0.37359,1.59342,0.93011,0,0.000307725,0.000307725,0.000307725
25,429.32,0.50359,0.34549,0.52692,0.96769,0,0.48478,0.7272,0.67854,0.59725,0.48202,0.72437,0.67504,0.53241,0.4372,0.33393,0.45616,0.9125,0,0.000306626,0.000306626,0.000306626
26,446.372,0.53132,0.38014,0.5698,0.99342,0,0.64484,0.65956,0.6877,0.58285,0.65093,0.68854,0.68436,0.51704,0.42696,0.31486,0.48458,0.90512,0,0.000305527,0.000305527,0.000305527
27,463.367,0.50933,0.36975,0.52249,0.95398,0,0.59066,0.61683,0.62068,0.52735,0.58339,0.60946,0.61099,0.46514,0.41703,0.30344,0.4851,0.89637,0,0.000304429,0.000304429,0.000304429
28,480.523,0.50472,0.39745,0.56229,0.96167,0,0.70148,0.68821,0.74543,0.65676,0.70353,0.69085,0.74746,0.57539,0.42728,0.3051,0.46413,0.90805,0,0.00030333,0.00030333,0.00030333
29,497.779,0.50614,0.38772,0.51124,0.98807,0,0.7342,0.63046,0.72102,0.6198,0.73291,0.62951,0.71974,0.55239,0.42979,0.29155,0.43553,0.89764,0,0.000302231,0.000302231,0.000302231
30,514.905,0.50731,0.34838,0.53228,0.96019,0,0.80634,0.56465,0.63617,0.53637,0.79882,0.55539,0.6259,0.4647,0.44182,0.32781,0.45093,0.90299,0,0.000301132,0.000301132,0.000301132
31,531.964,0.51943,0.36966,0.51785,0.96208,0,0.68152,0.61441,0.62969,0.54327,0.73284,0.56798,0.63123,0.47922,0.42345,0.31992,0.48551,0.89786,0,0.000300033,0.000300033,0.000300033
32,549.043,0.49598,0.32804,0.53652,0.96602,0,0.61865,0.74488,0.71147,0.6086,0.61254,0.7377,0.70436,0.53726,0.44604,0.29081,0.45564,0.90958,0,0.000298934,0.000298934,0.000298934
33,566.157,0.51709,0.36773,0.5075,0.96608,0,0.55471,0.75272,0.588,0.51142,0.55482,0.75361,0.58671,0.43165,0.43125,0.31879,0.47819,0.89934,0,0.000297835,0.000297835,0.000297835
34,583.218,0.50863,0.36123,0.49027,0.97864,0,0.52568,0.76193,0.76365,0.67364,0.52568,0.76193,0.76376,0.60201,0.39103,0.28169,0.41016,0.87788,0,0.000296736,0.000296736,0.000296736
35,600.894,0.49285,0.35139,0.50073,0.94345,0,0.54946,0.92607,0.77202,0.68104,0.54731,0.92298,0.76508,0.61017,0.41429,0.30284,0.40128,0.88911,0,0.000295637,0.000295637,0.000295637
36,618.297,0.49124,0.38424,0.50782,0.942,0,0.62647,0.81665,0.79082,0.70127,0.62329,0.81331,0.78315,0.62394,0.42558,0.29992,0.42382,0.89423,0,0.000294539,0.000294539,0.000294539
